Ticker,Name,Sector,Industry,Market Cap,PE Ratio,Dividend Yield
BSE.NS,BSE LIMITED,Financial Services,Financial Data & Stock Exchanges,371717275648,62.80728,0.0054
BAJAJ-AUTO.NS,BAJAJ AUTO LIMITED,Consumer Cyclical,Auto Manufacturers,3098988511232,39.02386,0.0072000003
BAJFINANCE.NS,BAJAJ FINANCE LIMITED,Financial Services,Credit Services,4527155052544,30.140533,0.005
BAJAJFINSV.NS,BAJAJ FINSERV LTD.,Financial Services,Financial Conglomerates,2931856244736,35.44701,0.0005
BAJAJHLDNG.NS,BAJAJ HOLDINGS & INVS LTD,Financial Services,Asset Management,1213181591552,16.245472,0.0123000005
BALAMINES.NS,BALAJI AMINES LIMITED,Basic Materials,Specialty Chemicals,71215775744,36.49261,0.005
BALKRISIND.NS,BALKRISHNA IND. LTD,Consumer Cyclical,Auto Parts,561759846400,34.4873,0.0055
BALRAMCHIN.NS,BALRAMPUR CHINI MILLS LTD,Consumer Defensive,Confectioners,118840172544,22.361427,0.0092
BANDHANBNK.NS,BANDHAN BANK LIMITED,Financial Services,Banks - Regional,327832403968,12.742642,0.0074
BANKBARODA.NS,BANK OF BARODA,Financial Services,Banks - Regional,1303182704640,6.8441067,0.0299
BANKINDIA.NS,BANK OF INDIA,Financial Services,Banks - Regional,539992227840,7.4927354,0.0239
MAHABANK.NS,BANK OF MAHARASHTRA,Financial Services,Banks - Regional,439045423104,9.777602,0.0226
BATAINDIA.NS,BATA INDIA LTD,Consumer Cyclical,Footwear & Accessories,188942598144,57.178146,0.0150999995
BAYERCROP.NS,BAYER CROPSCIENCE LTD,Basic Materials,Agricultural Inputs,287163678720,43.007816,0.0222
BERGEPAINT.NS,BERGER PAINTS (I) LTD,Basic Materials,Specialty Chemicals,675347890176,57.81437,0.0061000003
BDL.NS,BHARAT DYNAMICS LIMITED,Industrials,Aerospace & Defense,486830964736,178.74832,0.0039
BEL.NS,BHARAT ELECTRONICS LTD,Industrials,Aerospace & Defense,2175390580736,51.48789,0.0094
BHARATFORG.NS,BHARAT FORGE LTD,Consumer Cyclical,Auto Parts,732487876608,78.6625,0.0058
BHEL.NS,BHEL,Industrials,Specialty Industrial Machinery,999873511424,368.14102,0.00090000004
BPCL.NS,BHARAT PETROLEUM CORP  LT,Energy,Oil & Gas Refining & Marketing,1552318726144,8.004474,0.0642
BHARTIARTL.NS,BHARTI AIRTEL LIMITED,Communication Services,Telecom Services,9362466668544,92.21273,0.0050999997
BIKAJI.NS,BIKAJI FOODS INTERN LTD,Consumer Defensive,Packaged Foods,219486748672,77.76841,0.0011999999
BIOCON.NS,BIOCON LIMITED.,Healthcare,Biotechnology,436637106176,27.649736,0.0014
BIRLACORPN.NS,BIRLA CORPORATION LTD,Basic Materials,Building Materials,102817898496,26.10654,0.0075
BSOFT.NS,BIRLASOFT LIMITED,Technology,Information Technology Services,186503790592,29.83208,0.012
BLUEDART.NS,BLUE DART EXPRESS LTD,Industrials,Integrated Freight & Logistics,196424105984,66.81535,0.0031
BLUESTARCO.NS,BLUE STAR LIMITED,Industrials,Building Products & Equipment,344096702464,67.72562,0.0041
BBTC.NS,BOMBAY BURMAH TRADING COR,Consumer Defensive,Packaged Foods,184005951488,17.303654,0.0005
BORORENEW.NS,BOROSIL RENEWABLES LTD,Basic Materials,Building Materials,66110627840,N/A,N/A
BOSCHLTD.NS,BOSCH LIMITED,Consumer Cyclical,Auto Parts,959199576064,37.67555,0.0105
BRIGADE.NS,BRIGADE ENTER. LTD,Real Estate,Real Estate - Development,290582921216,58.54448,0.0016
BRITANNIA.NS,BRITANNIA INDUSTRIES LTD,Consumer Defensive,Packaged Foods,1424794451968,65.28253,0.0124
MAPMYINDIA.NS,C.E. INFO SYSTEMS LIMITED,Technology,Software - Infrastructure,112420839424,82.42761,0.0017
CCL.NS,CCL PRODUCTS (I) LTD,Consumer Defensive,Packaged Foods,96693280768,37.102707,0.0062
CESC.NS,CESC LTD,Utilities,Utilities - Regulated Electric,261474680832,18.566448,0.0232
CGPOWER.NS,CG POWER AND IND SOL LTD,Industrials,Electrical Equipment & Parts,1049761415168,114.60768,0.0019
CIEINDIA.NS,CIE AUTOMOTIVE INDIA LTD,Consumer Cyclical,Auto Parts,225018576896,27.769196,0.0085
CRISIL.NS,CRISIL LTD,Financial Services,Financial Data & Stock Exchanges,336081977344,51.699512,0.0072000003
CSBBANK.NS,CSB BANK LIMITED,Financial Services,Banks - Regional,54675251200,10.239076,N/A
CAMPUS.NS,CAMPUS ACTIVEWEAR LIMITED,Consumer Cyclical,Footwear & Accessories,84477796352,100.948906,N/A
CANFINHOME.NS,CAN FIN HOMES LTD,Financial Services,Mortgage Finance,118087622656,15.410078,0.0091
CANBK.NS,CANARA BANK,Financial Services,Banks - Regional,1012734951424,6.489535,0.0286
CAPLIPOINT.NS,CAPLIN POINT LAB LTD.,Healthcare,Drug Manufacturers - Specialty & Generic,146744377344,30.849312,0.0027
CGCL.NS,CAPRI GLOBAL CAPITAL LTD,Financial Services,Credit Services,172940427264,59.726494,0.0007
CARBORUNIV.NS,CARBORUNDUM UNIVERSAL LTD,Industrials,Conglomerates,287001870336,62.298637,0.0026
CASTROLIND.NS,CASTROL INDIA LIMITED,Energy,Oil & Gas Refining & Marketing,267807899648,30.206472,0.026600001
CEATLTD.NS,CEAT LIMITED,Consumer Cyclical,Auto Parts,115159408640,17.929026,0.0107
CELLO.NS,CELLO WORLD LIMITED,Consumer Cyclical,"Furnishings, Fixtures & Appliances",199680032768,56.926952,0.0017
CENTRALBK.NS,CENTRAL BANK OF INDIA,Financial Services,Banks - Regional,529017012224,16.963789,N/A
CDSL.NS,CENTRAL DEPO SER (I) LTD,Financial Services,Capital Markets,299079008256,62.35294,0.0067000003
CENTURYPLY.NS,CENTURY PLYBOARDS (I) LTD,Basic Materials,Lumber & Wood Production,175250046976,64.13008,0.0013
CENTURYTEX.NS,CENTURY TEXTILES LTD,Basic Materials,Paper & Paper Products,254007853056,98.24434,0.0021
CERA.NS,CERA SANITARYWARE LTD,Industrials,Building Products & Equipment,120227184640,52.31494,0.0064999997
CHALET.NS,CHALET HOTELS LIMITED,Consumer Cyclical,Lodging,190548770816,72.838066,N/A
